,Date,USD,EUR,BRL,CAD,HKD,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,RUB,HRK,JPY,THB,CHF,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,MXN,SGD,AUD,ILS,KRW,PLN,ISK
2363,2019-03-26,1.0,0.885661146,3.8586484811,1.3401824462,7.8489062085,52.6118147197,6.6118147197,279.957488265,22.8226020724,0.7557346559,4.2139757329,9.234168807,14170.0026569834,68.8650252413,64.2958108228,6.5705429103,110.4596581348,31.6446727482,0.9938889381,4.0714728545,1.7321760694,5.5268798158,6.7149056771,8.5375963156,1.4476131432,14.3670179789,19.0492427597,1.3509875122,1.4021787264,3.6216455584,1134.4522185812,3.8024975644,121.2470108936
2364,2019-03-27,1.0,0.8880206021,3.9244294468,1.3409999112,7.8491252997,52.7644081343,6.6303170234,284.1399520469,22.9082674718,0.7558653761,4.2293757215,9.2618772756,14239.9964479176,69.1412840778,64.7874966699,6.5935529704,110.4875233105,31.8302104609,0.9942278661,4.0834739366,1.7367906935,5.5341443921,6.7248912175,8.6093597371,1.4712725335,14.5860047953,19.2603676405,1.3550306367,1.4108871326,3.6338691058,1137.5543912619,3.8128052571,121.7476245449
2365,2019-03-28,1.0,0.8914244963,3.9750401141,1.3430201462,7.8499732573,52.8641469068,6.6551078624,285.131039401,22.9862720628,0.7626582278,4.2423783206,9.3385630237,14267.4986628633,69.33187734,65.1997682296,6.6232840078,110.6792654662,31.8702085933,0.9970582992,4.0824567659,1.74344803,5.6523444464,6.7387234801,8.6806917454,1.471652701,14.7033339276,19.4183455161,1.3573720806,1.4129078267,3.6329113924,1139.1602781244,3.8286682118,122.5708682475
2366,2019-03-29,1.0,0.8900756564,3.9043168669,1.3351134846,7.8500222519,52.5812194036,6.6445927904,285.7587894971,22.9657320872,0.7639519359,4.2374721851,9.2550066756,14240.0,69.1757899421,64.8477080552,6.6166444148,110.7699154428,31.7151757899,0.9951935915,4.0799287939,1.7408099688,5.6471740098,6.7109034268,8.5972407655,1.4686248331,14.4763684913,19.3066310636,1.3541611037,1.408188696,3.6283044059,1136.1459724077,3.827859368,122.3854027592
2367,2019-04-01,1.0,0.88999644,3.8771804913,1.3355286579,7.8498576006,52.4848700605,6.6430224279,285.7244571022,22.9538981844,0.7623531506,4.2386970452,9.2737629049,14225.0,69.320487718,65.6326984692,6.6098255607,110.964756141,31.7346030616,0.9950160199,4.0804556782,1.7406550374,5.52999288,6.7114631541,8.5777856889,1.464756141,14.1665183339,19.2628159487,1.3539515842,1.4039693841,3.6263794945,1134.9590601638,3.8260946956,122.55250979
2368,2019-04-02,1.0,0.8928571429,3.8604464286,1.3320535714,7.8498214286,52.4160714286,6.6648214286,287.2142857143,22.99375,0.7678571429,4.2516071429,9.3230357143,14220.0,68.753125,65.37,6.63375,111.3660714286,31.75,0.9995535714,4.0816964286,1.74625,5.5483035714,6.7200892857,8.6111607143,1.4771428571,14.13,19.1046428571,1.3551785714,1.4122321429,3.6258928571,1136.3839285714,3.8350892857,122.4107142857
2369,2019-04-03,1.0,0.8894423197,3.8361647247,1.3309614871,7.8489726941,52.128435471,6.6390643067,284.666014409,22.8800142311,0.7594947968,4.2297429512,9.2768833941,14176.9990216134,68.425242373,65.2494885707,6.6076669928,111.4471226541,31.7504224851,0.9967090634,4.0825402473,1.7395712888,5.6047318331,6.7084408076,8.5580361114,1.4721159833,14.1528061905,19.140353998,1.352752824,1.4047851997,3.6033976697,1134.3502623855,3.8183758783,119.5410477631
2370,2019-04-04,1.0,0.8913450397,3.8630894019,1.3358588109,7.8493626883,52.2657990908,6.6529102416,285.0610571352,22.9013281041,0.761369106,4.2334432659,9.2766735003,14168.000713076,69.1621356627,65.3691951154,6.6244763348,111.4270434085,31.7800160442,0.998930386,4.0795079775,1.7432926286,5.6359746858,6.7165522774,8.584365808,1.4795436313,14.1508155807,19.2057224352,1.3536857117,1.4066316071,3.6045102059,1137.4186647651,3.8231571441,119.2619663072
2371,2019-04-05,1.0,0.8902341316,3.8516869937,1.3380218998,7.8494614084,52.1116353601,6.6452416986,285.5425977032,22.8015668121,0.765049408,4.2297694294,9.2815810558,14155.4971957625,69.2486423929,65.2781981661,6.6086530758,111.670969465,31.8997596368,1.0001780468,4.0937416541,1.7411199145,5.595566634,6.7174396866,8.6005519452,1.48330811,14.0726431051,19.1378082436,1.3544912312,1.4054126235,3.5804326538,1137.3987358675,3.8188373542,118.7572331523
2372,2019-04-08,1.0,0.8892050507,3.8731993598,1.3375422372,7.8469678108,52.1367597368,6.6380046239,285.9149919972,22.7938822693,0.7663435888,4.2247910368,9.2766316913,14163.000177841,69.6438733772,65.1502756536,6.6083940957,111.4707451538,31.9598079317,0.9999110795,4.1012804553,1.7391072381,5.6714387338,6.7189222835,8.5634892406,1.4844389116,14.0994131247,19.0636670816,1.3554152588,1.4069891517,3.5794949315,1145.3939178375,3.8135337009,118.7977947715
